Name,Character,Gender,Ethinicity
Ethan Hawke,Toller,Male,White
Amanda Seyfried,Mary,Female,White
Cedric the Entertainer,Jeffers ,Male,POC
Victoria Hill,Esther,Female,White
Philip Ettinger,Michael,Male,White
Michael Gaston,Balq,Male,White
Bill Hoag,Elder,Male,White
Kristin Villanueva,Nurse,Female,White
Ingrid Kullberg-Bendz,Middle-Aged Tourist,Female,White
Ken Forman,Middle-Aged Man ,Male,White
Christopher Dylan White,College Student,Male,White
Frank Rodriguez,Sheriff,Male,White
Gary Lee Mahmoud,Doctor,Male,White
Joseph Anthony Jerez,War Vet in Wheelchair,Male,White
Sue Jean Kim,Suriya,Female,White
Miah Velasquez,Rosa,Female,White
Tyler Bourke,Benny,Male,POC
Natalie Woolams-Torres,Clerk,Female,White
Van Hansis,Roger,Male,White
Ramon Nuñez,Jason,Male,White
Delano Montgomery,Jake,Male,White
Satchel Eden Bell,Cynthia,Female,White
Jon Rua,1st Repairman,Male,White
Otis Edward Cotton,2nd Repairman,Male,White
Mark Havlis,Pancake House Owner,Male,White
Erica Fae,1st Secretary,Female,White
Prudence Wright Holmes,Balq Industries Tour Guide,Female,White
