Name,Character,Gender,Ethinicity
Viggo Mortensen,Tony Lip,Male,White
Mahershala Ali,Dr. Donald Shirley,Male,POC
Linda Cardellini,Dolores,Female,White
Sebastian Maniscalco,Johnny Venere,Male,White
Dimiter D. Marinov,Oleg,Male,White
Mike Hatton,George,Male,White
P.J. Byrne,Record Exec,Male,White
Joe Cortese,Gio Loscudo,Male,White
Maggie Nixon,Copa Coat Check Girl,Female,White
Von Lewis,Bobby Rydell,Male,White
Jon Sortland,Rydell Band Leader,Male,White
Don Stark,Jules Podell,Male,White
Anthony Mangano,Copa Bouncer Danny,Male,White
Paul Sloan,Copa Maître D' Carmine,Male,White
Quinn Duffy,Mikey Cerrone,Male,White
Seth Hurwitz,Johnny Randazzo,Male,White
Hudson Galloway,Nick Vallelonga,Male,White
Gavin Lyle Foley,Frankie Vallelonga,Female,White
Rodolfo Vallelonga,Grandpa Nicola Vallelonga,Male,White
Louis Venere,Grandpa Anthony Venere,Male,White
Frank Vallelonga,Rudy Vallelonga,Male,White
Don DiPetta,Louie Venere,Male,White
Jenna Laurenzo,Fran Venere,Female,White
Suehyla El-Attar,Lynn Venere,Female,White
Kenneth Israel,Bronx Floor Repairman #1,Male,POC
Derrick Spears,Bronx Floor Repairman #2,Male,White
Johnny Williams,Fat Paulie,Male,White
Randal Gonzalez,Gorman,Male,White
Iqbal Theba,Amit,Male,White
Sharon Landry,Carnegie Hall Manager,Female,White
Nick Vallelonga,Augie,Male,White
David An,Bobby,Male,White
Mike Cerrone,Joe and Joe's Customer,Male,White
Peter Gabb,Charlie the Pawn Guy,Male,White
Gertrud Sigle,Marie,Female,White
Geraldine Singer,Pittsburgh MC,Female,White
Ron Flagge,Pittsburgh Chauffeur,Male,POC
Martin Bats Bradford,Pittsburgh Busboy,Male,POC
Ted Huckabee,Indiana Stage Manager,Male,White
Gralen Bryant Banks,Horseshoe Man #1,Male,POC
Sam Malone,Horseshoe Man #2,Male,POC
Floyd Miles,Floyd,Male,POC
David Kallaway,Redneck #1,Male,White
James W. Evermore,Redneck #2,Male,White
Harrison Stone,Redneck #3,Male,White
Ricky Muse,Barkeep,Male,White
Tom Virtue,Morgan Anderson,Male,White
Christina Simpkins,Margaret Anderson,Female,White
Kermit Burns III,Pimento Cheese Waiter,Male,White
Lindsay Brice,Frances Selden,Female,White
Brian Distance,Macon Cop #2,Male,POC
Craig DiFrancia,Dominic,Male,White
Dennis W. Hall,Mags,Male,White
Leslie Castay,Well-Dressed Woman,Female,White
David Simpson,Louisiana Host,Male,White
Jim Klock,Patrolman #1,Male,White
Billy Breed,Patrolman #2,Male,White
Dane Rhodes,Police Chief,Male,White
Brian Stepanek,Graham Kindell,Male,White
Jon Michael Davis,Birmingham Hotel Maître D',Male,White
Montrel Miller,Birmingham Hotel Waiter,Male,POC
Ninja N. Devoe,Orange Bird Bartender,Female,POC
Brian Hayes Currie,Maryland State Trooper,Male,White
