Name,Character,Gender,Ethinicity
Christian Bale,Dick ,Male,White
Amy Adams,Lynne,Female,White
Steve Carell,Rumsfeld,Male,White
Sam Rockwell,George W. Bush,Male,White
Alison Pill,Mary ,Female,White
Eddie Marsan,Paul Wolfowitz,Male,White
Justin Kirk,Scooter Libby,Male,White
LisaGay Hamilton,Condoleezza Rice,Female,POC
Jesse Plemons,Kurt,Male,White
Bill Camp,Gerald Ford,Male,White
Don McManus,David Addington,Male,White
Lily Rabe,Liz Cheney,Female,White
Shea Whigham,Wayne Vincent,Male,White
Stephen Adly Guirgis,George Tenet,Male,White
Tyler Perry,Colin Powell,Male,POC
Josh Latzer,Secret Service Agent,Male,White
Jeff Bosley,Secret Service Agent,Male,White
Camille James Harman,Mary Matalin ,Female,White
Jillian Armenante,Karen Hughes,Female,White
Matthew Jacobs,Antonin Scalia,Male,White
Robert L. Hughes,Justice Warren E. Burger ,Male,White
Scott Christopher,Marshal,Male,White
Amir Malaklou,Prisoner,Male,White
Paul Perri,Trent Lott,Male,White
Edward Fletcher,Democratic Senator,Male,White
Brian Chung,Soldier by Tank ,Male,White
Kawa Mawlayee,Soldier by Tank,Male,White
Alex MacNicoll,17 Year Old Dick Cheney,Male,White
Cailee Spaeny,17 Year Old Lynne Vincent,Female,White
Brandon Sklenar,Bobby Prentace,Male,White
Casey Sander,Old Crew Member,Male,White
Joe Sabatino,Lineman Boss,Male,White
Fay Masterson,Edna Vincent,Female,White
Dan Gilvary,Monotone Congressman,Male,White
Stephen Friedrich,Alan,Male,White
Kyle S. More,Roger Ailes ,Male,White
Robyn Wholey,White House Tour Guide,Female,White
Betsy Koch,Kurt's Wife,Female,White
Elliot Zetumer,Kurt's Son,Male,White
Kirk Bovill,Henry Kissinger,Male,White
Violet Hicks,8 Year Old Liz Cheney,Female,White
Colyse Harger,5 Year Old Mary Cheney,Female,White
Brandon Bales,CIA Agent,Male,White
Brian Poth,Secret Service Agent,Male,White
Sam Massaro,Young Antonin Scalia,Male,White
Doug Simpson,Campaign Manager,Male,White
Scott Subiono,Cheney's Doctor,Male,White
Dennis LaValle,Mayor,Male,White
Al Carabello,Aide,Male,White
Melissa K. Marks,Heather Poe,Female,White
Treisa Gary,Clerk,Female,POC
Chris Dougherty,Philip Perry,Male,White
John Hillner,George Bush Sr.,Male,White
Grace Rowe,Teacher,Female,White
Michael Reilly Burke,David Gribbin,Male,White
Staci Roberts Steele,Theresa,Female,White
William Goldman,Dennis Hastert,Male,White
Tony Forsmark,Grover Norquist,Male,White
Adam Bartley,Frank Luntz,Male,White
Daniel Bruington,Doug,Male,White
Vishesh Chachra,Secret Service Agent,Male,White
Kevin Flood,Richard Clarke,Male,White
Michael A. Naggi,Other Man,Male,White
Melissa Schumacher,Intelligence Officer,Female,White
Delpaneaux Wills,Intelligence Officer,Male,POC
Scott Alan Smith,Intelligence Officer,Male,White
Paul Yoo,John Yoo,Male,White
Brandon Firla,Jay Bybee,Male,White
Omid Zader,Waterboard Translator,Male,White
David Yahya,Waterboard Translator,Male,White
Karim Saleh,Translator,Male,White
Terri Cavanaugh,Focus Group Leader,Female,White
Stewart J. Zully,Focus Group Participant,Male,White
Ptolemy Slocum,Focus Group Participant,Male,White
Melody Hollis,Focus Group Participant,Female,White
Matt Champagne,Douglas Feith,Male,White
Joseph Beck,Karl Rove,Male,White
Tony Graham,Zarqawi,Male,White
Alex Kingi,Osama Bin Laden,Male,White
Vanessa Cloke,CIA Analyst,Female,White
David Fabrizio,Lawrence Wilkerson,Male,White
Matt Miller,General,Male,White
Mark Bramhall,Harry Whittington,Male,White
Holly Hawkins,Katherine Armstrong,Female,White
John Kellar,Soldier,Male,White
Dustin Green,Soldier,Male,POC
James Hornbeck,Patrick Leahy,Male,White
Robert Loftin,GW Doctor / Surgeon,Male,White
Kevin Symons,Male News Anchor,Male,White
Stacie Greenwell,Nurse,Female,POC
Amy Moorman,Martha ,Female,White
